iterations,fitness,num_node,Concentrate gor amount,Concentrate waste amount,Tail gor amount,Tail waste amount,ppk gor,ppk conc,config,cores,runtime
10583,802.452,25,0,0,0,0,100,500,19-19-7-8-16-9-13-14-5-19-20-14-18-3-12-19-15-25-14-14-3-18-17-9-2-5-22-9-6-8-1-19-23-8-9-19-24-1-19-9-21-19-0-9-11-18-10-21-26-19-4,32,46.464
10699,784.908,25,0,0,0,0,100,500,24-13-19-25-12-24-11-1-15-8-5-8-18-15-24-8-0-3-13-12-8-24-2-24-20-25-3-3-21-24-26-12-9-24-10-24-16-8-7-21-23-24-14-15-6-6-17-21-22-8-4,32,42.1087
10586,785.685,25,0,0,0,0,100,500,7-7-24-20-15-20-14-25-23-16-22-12-17-20-5-16-10-23-16-3-19-16-13-7-0-8-7-16-4-20-6-20-2-9-18-7-21-9-20-3-8-8-12-7-11-18-1-25-9-7-26,32,41.1773
11922,795.343,25,0,0,0,0,100,500,17-23-13-17-21-13-14-23-25-14-10-13-2-24-7-24-17-17-22-5-26-14-12-17-8-11-21-24-6-7-16-17-1-17-15-13-19-3-24-13-5-19-9-14-4-17-20-25-18-23-0,32,103.068
10640,792.697,25,0,0,0,0,100,500,24-24-21-19-26-14-16-24-15-18-10-24-20-14-2-10-9-25-11-12-23-11-12-18-4-11-13-11-14-4-24-24-17-14-0-22-1-25-8-10-7-24-3-24-5-10-19-13-6-10-22,32,41.4817
10721,837.442,25,0,0,0,0,100,500,11-11-6-25-18-16-14-15-6-7-3-18-13-7-22-17-9-12-10-17-24-2-7-13-19-16-2-16-12-5-17-8-26-1-5-13-11-25-16-13-8-17-21-17-0-7-23-7-4-17-20,32,109.641
10647,802.452,25,0,0,0,0,100,500,21-21-8-21-0-14-17-21-24-21-10-12-20-15-18-14-9-21-4-14-2-21-3-18-22-23-21-19-14-15-6-19-23-14-7-6-11-15-12-25-15-21-1-14-16-12-5-19-13-16-26,32,44.8919
10826,792.697,25,0,0,0,0,100,500,3-3-21-8-22-5-16-16-9-16-12-25-17-9-23-2-3-18-7-16-4-7-0-3-20-16-14-3-6-19-1-7-10-18-19-25-18-5-2-18-8-3-24-3-11-7-15-4-26-3-13,32,42.6251
11022,809.542,25,0,0,0,0,100,500,14-20-24-17-26-7-17-21-5-9-18-21-7-0-18-3-16-14-11-3-20-2-1-14-23-14-10-7-15-7-2-16-4-3-9-7-13-14-6-14-22-5-14-25-3-14-8-14-12-20-19,32,76.4054
